"","logFC","logCPM","F","PValue","FDR"
"EFNA4",0.189178331285865,3.83916397785215,3.29365696247368,0.580161596212926,0.839770342739531
"NDUFB7",0.157382919942347,4.31124417088742,2.13096625372292,0.580198238989255,0.839770342739531
"FNDC3A",0.0591752032922455,7.01354046191671,1.4508384216214,0.580203226112157,0.839770342739531
"CCDC109B",0.20609402794769,3.62601854864081,3.06639889603831,0.580235988960286,0.839770342739531
"NAA30",-0.114698367883664,5.16233963901321,2.68052060155119,0.580245388205913,0.839770342739531
"CNTF",-0.609269391201074,1.61010637439568,5.40221614181544,0.580308012542472,0.839770342739531
"CHD4",-0.0282934215682309,9.12738845664774,0.516699691056266,0.58032774533588,0.839770342739531
"CPSF4",-0.128382469100167,4.85503362137875,1.8973122136795,0.580401029951341,0.839770342739531
"MAPK9",-0.108176836045856,5.32152554293012,3.14191769617964,0.580426126479441,0.839770342739531
"WAC-AS1",-0.131938612144755,4.77872672525445,2.94196999374743,0.580792008578192,0.840094447389912
"SLC25A34",0.506021817100923,1.84045642058411,5.42949736989844,0.580795561202163,0.840094447389912
"KLK8",0.24972543371171,3.16627564274739,4.09667857750752,0.580822336235209,0.840094447389912
"ZNF724P",-0.43619700858559,2.07110630974889,5.06931056762112,0.580906758403592,0.840133529248515
"PLEKHJ1",-0.140613653370738,4.60543602854754,1.70812461392051,0.581206729498255,0.840439272571905
"TRIP10",0.074767824054783,6.34322862711257,2.00365995451598,0.581233008812027,0.840439272571905
"DBNDD2",0.51858103084171,1.80378064855202,5.29515942357273,0.581489552401239,0.84062014605862
"TTF1",-0.156790453919622,4.31587955367527,3.10368359753721,0.581515117577129,0.84062014605862
"ZFPL1",0.135023236802493,4.70767181428912,3.48027176729458,0.581576019688947,0.84062014605862
"GBX1",-0.61366483846167,1.59776891748207,6.11556641296874,0.581587838138124,0.84062014605862
"SCN11A",0.719935553866042,1.42168208260621,4.80677979822393,0.581873594802134,0.840895518384143
"CTBP1",0.0682524833763105,6.59609047963069,0.941543437769066,0.581893263883206,0.840895518384143
"TTC22",-0.561125932944082,1.70459831075856,5.03352478775644,0.581979523823261,0.840937141936741
"TOMM5",0.437907877628744,2.05323701117787,5.49263099843884,0.582065035060518,0.840977675532649
"ATG5",0.154566193198216,4.34473577443895,4.18756133453107,0.582184815616847,0.841067709146992
"PLCH2",0.275317923660736,2.93903892905186,4.14776134883014,0.582271026851882,0.841109233024491
"RABGAP1",0.086297105530372,5.93154575038047,2.25014488482973,0.582413899525545,0.841232589899918
"TXNRD3",-0.180616398403961,3.94486997984553,3.89333295933003,0.582488344311731,0.8412570956529
"METTL21B",0.207475929782054,3.59460599464552,4.94849126697999,0.582551924008073,0.841265906243923
"TAS2R10",0.647262127544387,1.52829285862404,5.89853556724454,0.582802951087086,0.841530742806405
"KCNRG",-0.707955981200872,1.44156570763447,5.71890757088551,0.582850310182326,0.841530742806405
"PMS2P3",0.260179538348553,3.06052562510093,3.4232065303944,0.582937046129686,0.841571823906805
"NBAS",0.077678231100355,6.22240012463795,1.91807464388907,0.582993763500348,0.841571823906805
"DNAJB9",-0.173013978420084,4.05025931867339,2.94918064778086,0.583100580695816,0.841607286478485
"DDX39B",-0.057577797052093,7.0713038583819,1.02292296950762,0.583133335076409,0.841607286478485
"KLK11",0.779278280930174,1.34364226120189,4.24521727467427,0.583213618291414,0.841640161438881
"RBM7",0.125792003022979,4.88580272828028,1.87006963543798,0.583327101098614,0.841720935786189
"ANKRD62",0.63316029216114,1.55055454475166,4.96733730957054,0.583425886272354,0.8417804881193
"C21orf62-AS1",0.53322546094942,1.75868691031437,2.59629255104569,0.583560762740749,0.841843153672678
"LINC01504",0.513225081408303,1.81032452538709,7.02717579721972,0.583584356187687,0.841843153672678
"OR51AB1P",0.552813040079237,1.7109194938377,5.20377705630681,0.583786670834449,0.842027415150671
"STOX1",0.180377608388395,3.93485696845136,2.74751323922566,0.583827152838822,0.842027415150671
"REM2",-0.748704729946556,1.38466610848159,5.95642857762791,0.583980636897745,0.842165789894117
"TARSL2",-0.157722512898964,4.28087482711428,3.78639327404229,0.584333544715115,0.842591700536988
"FBXO30",-0.117802539706518,5.05863193401285,2.96969469719656,0.584515525446572,0.842771079739536
"TMEM184C",0.0982101998857412,5.55516609336702,2.91643974158918,0.584600015445598,0.842809872543515
"VEZF1P1",0.609707277671584,1.58832240584342,4.34169703780177,0.584984567672988,0.843281210722136
"ALKBH2",-0.18969119208859,3.80382651664907,5.28742744884655,0.585126325190111,0.843332386556423
"SMYD3",-0.155157851951454,4.31793821886842,4.07914169913541,0.585153405246646,0.843332386556423
"FBXL12",-0.163305217949369,4.18450763788253,2.57242315542317,0.585192929616496,0.843332386556423
"SLC26A7",0.375400856342772,2.30075327954264,4.91621872119912,0.585399732789145,0.843488149655914
"TRUB2",-0.109203341350038,5.25919317781283,3.15352420732102,0.585416276592291,0.843488149655914
"CARNS1",-0.288152961187479,2.82790227041507,4.83797188621001,0.585489676623547,0.84351086790651
"DUSP8P5",0.429883357419437,2.06776975314901,5.03303712426415,0.585600408458064,0.84358736005829
"RPS6KB2",0.144812213497206,4.49117775679854,2.30654525291713,0.585801573121847,0.843733520391608
"POLR3K",0.27667345504697,2.90769278153103,5.29577492445601,0.585817165497371,0.843733520391608
"FAM19A3",-0.554164528362701,1.70690765803997,5.21933141071425,0.585912242215294,0.843787422716032
"MED15P9",0.738929566175987,1.38570864148765,5.25968714592976,0.586099345245207,0.843973830874543
"ZNF599",0.335775630814713,2.50592171467814,5.03392589238532,0.586225566495591,0.844024113681845
"MARS2",0.196980585296814,3.69802574146527,4.34299443737085,0.586249599596176,0.844024113681845
"SKI",0.0646328794688636,6.71670258936945,1.07650493172384,0.586403518418224,0.844162672919162
"WSB1",-0.0602097779634864,6.9183143277435,1.40487799609724,0.586541724141651,0.844278587188946
"NDUFAB1",-0.131259397217404,4.75090556796278,2.2230737876866,0.586620096732018,0.844308362254874
"EPM2A",-0.279821071188366,2.88389100101202,5.93500805800509,0.58668232267468,0.84431489426417
"TMEM185B",-0.119910369150251,4.99355240797366,3.06809985575129,0.586831775981066,0.844424304224069
"POMK",-0.144971501918779,4.4843489311867,2.73635159067967,0.58687373753534,0.844424304224069
"ZNF550",0.613042889457063,1.57589786165998,5.35936635027036,0.586987216256259,0.844489946013373
"NVL",0.150637506766938,4.37793685798212,4.18385026908189,0.587104750276726,0.844489946013373
"CYP51A1",-0.30625783013467,2.69095842239501,1.71718085111269,0.587183633567721,0.844489946013373
"ANKLE2",0.0592437482274082,6.95752463918815,1.37799999586687,0.587206722365652,0.844489946013373
"MAP1S",-0.0959577142244981,5.60216881369389,1.08063944284772,0.587266798641336,0.844489946013373
"H3F3AP6",-0.339127399283155,2.48725721380109,4.62255854431852,0.587300522628448,0.844489946013373
"SOCS2-AS1",0.430769209385164,2.05688978517718,3.73713024318606,0.587337920228127,0.844489946013373
"DNAJC5G",0.301771730472856,2.71407001628647,4.02609876968408,0.587432033515536,0.844489946013373
"EIF4E3",0.169721522566908,4.06499410975244,2.7478460661758,0.587527568343856,0.844489946013373
"SULT1A3",0.369250242901928,2.32019968287502,5.90519816120001,0.587553190765655,0.844489946013373
"VTA1",-0.0836936017566444,5.98113780211089,2.15119431742549,0.587564997912405,0.844489946013373
"TECTA",0.304935679593349,2.69097583970713,5.93615932870953,0.587711852511747,0.844489946013373
"HNRNPH1P1",0.550094607232568,1.70357085535597,6.26144087294371,0.587739885990048,0.844489946013373
"C5orf34",0.349235265741698,2.4224642791443,6.18406191723037,0.587781694683898,0.844489946013373
"NRD1",0.0424191783839366,7.90647401156394,0.964807998841772,0.587787262458363,0.844489946013373
"ZNF480",0.14783481834296,4.42219131551785,2.45561654092487,0.587842550559186,0.844489946013373
"ADAMTS4",-0.553839944901046,1.70043990220846,4.90656474778163,0.588002548824736,0.844636893178805
"PC",0.15509834559703,4.29384265067451,3.66505611215396,0.588185534069846,0.844750476681689
"EBNA1BP2",0.0996494647354987,5.48822607505583,2.89525398220771,0.588197055743583,0.844750476681689
"CNEP1R1",-0.176956237935022,3.9572463663194,4.46710781374088,0.588322558939186,0.844826523473899
"TYMS",-0.071116514190048,6.43262262549472,1.42404347022567,0.588365451883674,0.844826523473899
"FAM174A",-0.239932115062522,3.21594978319323,4.05230530342788,0.588576709702886,0.844993292064253
"LRP1",-0.0908490739412294,5.7439120843679,1.17270275892553,0.588653559836655,0.844993292064253
"RAET1L",-0.557870080861165,1.6890985956398,6.81896992804065,0.588654796794693,0.844993292064253
"EPG5",-0.0861545599167743,5.88943812192592,2.38525611964077,0.588971835240082,0.845365478138064
"ZC3H6",0.123451007569062,4.89450452352457,2.77326221764269,0.589172275665742,0.845478988266392
"ATP6V1C2",0.295487247446144,2.74800027713731,4.76656993114697,0.589195624692999,0.845478988266392
"OXA1L",0.0666600986437148,6.60737253335418,1.81511875863539,0.58922421975384,0.845478988266392
"RASA4DP",-0.456283005343309,1.96438865369895,6.25410290847428,0.589433881631974,0.845696921043582
"ALS2",-0.0834406606579594,5.97460892711588,2.06798481411023,0.589562562617115,0.845798634234866
"UMPS",0.117251509375501,5.03080674549663,3.15195600040186,0.589650209014409,0.845841464190423
"GHRLOS",0.382713835748508,2.24529231619669,5.5986598053597,0.589776193810318,0.845910932028418
"NANP",-0.16762378899785,4.08522387095645,4.22048762082829,0.589825373671126,0.845910932028418
"NFS1",0.166946882191642,4.09098849203708,3.56412387666535,0.58990267806042,0.845910932028418
"SLIT1",0.483043850936666,1.87156206582307,3.84696226975534,0.589929822575435,0.845910932028418
"NFYC-AS1",0.450056946304044,1.9760821057384,5.09644923925235,0.590125401773142,0.846108481617526
"LIAS",-0.220697913309185,3.40114207439569,4.90898027671108,0.590225743291462,0.846169456245846
"CNTROB",-0.0936166038312896,5.64776835795227,2.05283053721463,0.590356559789005,0.846274104708313
"TIMM10",0.244451810064795,3.15600563439694,4.8387979982044,0.590480824758606,0.846347434678051
"INPP5B",0.126074556070967,4.82789314455499,2.97896639733521,0.590523367240521,0.846347434678051
"LRRC27",0.251520642841257,3.09011278548242,5.53374618442921,0.59066296327131,0.846445983366063
